# RLEdb
# Citation : Zhao, M., Chen, X., Gao, G. et al. RLEdb: a database of rate-limiting enzymes and their regulation in human, rat, mouse, yeast and E. coli. Cell Res 19, 793–795 (2009). https://doi.org/10.1038/cr.2009.61

CALM1	CALML2|CAMI|CPVT4|DD132|PHKD|caM
CALM2	CAMII|PHKD|PHKD2
CALM3	HEL-S-72|PHKD|PHKD3
CALR	CRT|HEL-S-99n|RO|SSA|cC1qR
CANX	CNX|IP90|P90
CAT	-
CAV1	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21
CBR1	CBR|SDR21C1|hCBR1
CBR3	HEL-S-25|SDR21C2|hCBR3
CBS	HIP4
CCBL1	GTK|KAT1|KATI
CCNC	CycC
CCT6A	CCT-zeta|CCT-zeta-1|CCT6|Cctz|HTR3|MoDP-2|TCP-1-zeta|TCP20|TCPZ|TTCP20
CD36	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3
SCARB1	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1
CD38	ADPRC 1|T10
ENTPD1	ATPDase|CD39|NTPDase-1|SPG64
ENTPD2	CD39L1|NTPDase-2
ENTPD6	CD39L2|IL-6SAG|IL6ST2|NTPDase-6|dJ738P15.3
ENTPD3	CD39L3|HB6|NTPDase-3
ENTPD5	CD39L4|NTPDase-5|PCPH
CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1
CDA	CDD
CDK8	K35
CDO1	-
CDS1	CDS
CDX2	CDX-3|CDX2/AS|CDX3
CEL	BAL|BSDL|BSSL|CELL|CEase|FAP|FAPP|LIPA|MODY8
CES1	ACAT|CE-1|CEH|CES2|HMSE|HMSE1|PCE-1|REH|SES1|TGH|hCE-1
CETP	BPIFF|HDLCQ10
CGA	CG-ALPHA|FSHA|GPHA1|GPHa|HCG|LHA|TSHA
CGB	CGB3|CGB5|CGB7|CGB8|hCGB
CHAT	CHOACTASE|CMS1A|CMS1A2
AKR1C4	3-alpha-HSD|C11|CDR|CHDR|DD-4|DD4|HAKRA
CHIT1	CHI3|CHIT|CHITD
CHKA	CHK|CK|CKI|EK
CHKB	CHETK|CHKL|CK|CKB|CKEKB|EK|EKB|MDCMC
CHRM3	EGBRS|HM3
CKB	B-CK|BCK|CKBB|HEL-211|HEL-S-29
TBCB	CG22|CKAP1|CKAPI
CKM	CKMM|M-CK
